BDI_jsd,net_return
0.000218,0.930000
0.000172,-1.000000
0.000148,1.010000
0.000185,0.820000
0.000120,1.220000
0.000161,-1.000000
0.000134,-1.000000
0.000204,0.700000
0.000153,0.850000
0.000119,1.020000
0.000131,0.940000
0.000143,-1.000000
0.000149,0.830000
0.000122,0.970000
0.000136,-1.000000
0.000102,-1.000000
0.000107,1.020000
0.000106,-1.000000
0.000111,-1.000000
0.000110,-1.000000
0.000108,0.930000
0.000129,-1.000000
0.000079,-1.000000
0.000094,-1.000000
0.000107,-1.000000
0.000108,0.910000
0.000104,0.920000
0.000074,1.280000
0.000084,-1.000000
0.000099,0.920000
0.000097,0.930000
0.000096,-1.000000
0.000079,-1.000000
0.000127,0.680000
0.000079,-1.000000
0.000095,0.860000
0.000101,0.830000
0.000078,-1.000000
0.000082,0.990000
0.000096,-1.000000
0.000084,-1.000000
0.000090,-1.000000
0.000097,0.780000
0.000086,0.850000
0.000081,-1.000000
0.000069,-1.000000
0.000076,-1.000000
0.000067,-1.000000
0.000078,0.930000
0.000123,0.580000
0.000074,0.950000
0.000086,-1.000000
0.000068,-1.000000
0.000068,0.990000
0.000067,1.000000
0.000072,0.930000
0.000092,-1.000000
0.000040,-1.000000
0.000070,-1.000000
0.000066,-1.000000
0.000066,0.900000
0.000066,-1.000000
0.000062,-1.000000
0.000076,0.750000
0.000076,0.750000
0.000051,-1.000000
0.000057,0.960000
0.000102,0.520000
0.000045,1.140000
0.000040,-1.000000
0.000087,0.570000
0.000039,1.220000
0.000038,-1.000000
0.000050,-1.000000
0.000054,-1.000000
0.000048,-1.000000
0.000066,0.660000
0.000065,0.670000
0.000046,-1.000000
0.000044,-1.000000
