Partido,Fecha_Hora_Colombia,Liga,Mercado,Mejor_Cuota,Mejor_Casa,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Estrategia,Prioridad,ROI_Historico,Confianza,Resultado,Marcador
Real Madrid vs Celta Vigo,2025-12-07 15:00:00,La Liga,Under 3.5,1.93,pinnacle,0.8601,0.0567,2.63,3.36,Under 3.5,ALTA,80,59.55766232120224,Acertado,0-2
Le Havre vs Paris FC,2025-12-07 11:15:00,Ligue 1,X2,1.5,pinnacle,0.2697,0.015,0.75,3.3,X2,ALTA,97,56.58493939393939,Acertado,0-0
Paris Saint Germain vs Rennes,2025-12-06 15:05:00,Ligue 1,Under 3.5,2.05,pinnacle,0.6042,0.0367,1.42,2.83,Under 3.5,ALTA,80,56.23539133031404,Fallido,5-0
FC Winterthur vs FC Basel,2025-12-07 08:00:00,Swiss Superleague,Under 3.5,1.97,pinnacle,0.7316,0.06,2.56,3.39,Under 3.5,ALTA,80,55.75395501474926,Acertado,1-2
Fulham vs Crystal Palace,2025-12-07 11:30:00,EPL,X2,1.54,pinnacle,0.1843,0.0125,0.71,3.31,X2,ALTA,97,54.75580311476108,Acertado,1-2
Brighton and Hove Albion vs West Ham United,2025-12-07 09:00:00,EPL,X2,2.54,marathonbet,0.3558,0.035,1.18,3.12,X2,ALTA,97,54.658832681442846,Acertado,1-1
Cremonese vs Lecce,2025-12-07 06:30:00,Serie A,X2,1.58,pinnacle,0.3065,0.02,1.01,3.36,X2,ALTA,97,54.148371051390846,Fallido,2-0
Lorient vs Lyon,2025-12-07 14:45:00,Ligue 1,X2,1.39,marathonbet,0.3179,0.0225,1.08,3.24,X2,ALTA,97,54.069098765432095,Fallido,1-0
Fluminense vs Bahia,2025-12-07 14:00:00,Brasileirão,Over 2.5,1.95,pinnacle,0.3747,0.0367,1.5,4.19,Over 2.5,MEDIA,100,52.68093635640413,Fallido,2-0
Hamburger SV vs Werder Bremen,2025-12-07 09:30:00,Bundesliga,X2,1.63,marathonbet,0.25,0.0125,1.01,3.24,X2,ALTA,97,52.67382960518274,Fallido,3-2
Lazio vs Bologna,2025-12-07 12:00:00,Serie A,X2,1.55,pinnacle,0.2226,0.02,1.03,3.37,X2,ALTA,97,51.42145596496788,Acertado,1-1
FC St Gallen vs FC Zurich,2025-12-06 14:30:00,Swiss Superleague,X2,1.85,pinnacle,0.3959,0.04,2.21,3.41,X2,ALTA,97,51.36698951712424,Acertado,0-0
Elche CF vs Girona,2025-12-07 08:00:00,La Liga,X2,1.76,pinnacle,0.2059,0.0275,1.11,3.4,X2,ALTA,97,50.16836195018548,Fallido,3-0
Napoli vs Juventus,2025-12-07 14:45:00,Serie A,X2,1.57,marathonbet,0.2204,0.025,1.41,3.13,X2,ALTA,97,49.193974939387765,Fallido,1-0
AZ Alkmaar vs Go Ahead Eagles,2025-12-07 08:30:00,Eredivisie,Under 3.5,1.76,codere_it,0.0395,0.035,2.03,6.08,Under 3.5,ALTA,80,33.400582058594765,Fallido,2-2
